panorama_file_name,latitude[deg],longitude[deg]
TMX7316010203-003044_pano_0000_000070,52.369599266401,4.89937015762215
TMX7316010203-003044_pano_0000_000071,52.3695854050424,4.89943967570019
TMX7316010203-003044_pano_0000_000072,52.3695703521208,4.89950868099412
TMX7316010203-003044_pano_0000_000073,52.3695524930845,4.89957551404096
TMX7316010203-003044_pano_0000_000074,52.3695317622668,4.89963977160453
TMX7316010203-003044_pano_0000_000075,52.3695082084164,4.89970130199782
TMX7316010203-003044_pano_0000_000076,52.3694833746997,4.89976102372711
TMX7316010203-003044_pano_0000_000077,52.3694585663202,4.89981887988976
TMX7316010203-003044_pano_0000_000078,52.3694333610157,4.89987569797505
TMX7316010203-003044_pano_0000_000079,52.3694068079773,4.89992981905644
TMX7316010203-003044_pano_0000_000080,52.3693723074406,4.89996846355798
TMX7316010203-003044_pano_0000_000081,52.3693290741408,4.89996446453092
TMX7316010203-003044_pano_0000_000082,52.3692889704955,4.89993194433734
TMX7316010203-003044_pano_0000_000083,52.3692495488402,4.89989277287462
TMX7316010203-003044_pano_0000_000084,52.3692112412906,4.89985121467115
TMX7316010203-003044_pano_0000_000085,52.3691739472177,4.89980808023603
TMX7316010203-003044_pano_0000_000086,52.3691364500288,4.89976582727987
TMX7316010203-003044_pano_0000_000087,52.3690989475317,4.89972408531115
TMX7316010203-003044_pano_0000_000088,52.3690615848739,4.89968219730646
TMX7316010203-003044_pano_0000_000089,52.3690241172536,4.89964009748947
TMX7316010203-003044_pano_0000_000090,52.3689865572211,4.89959606926175
TMX7316010203-003044_pano_0000_000091,52.3689491483857,4.89955230690925
TMX7316010203-003044_pano_0000_000092,52.368912319869,4.89950970998552
TMX7316010203-003044_pano_0000_000093,52.3688752181622,4.89946766091362
TMX7316010203-003044_pano_0000_000094,52.3688379985978,4.89942650598227
TMX7316010203-003044_pano_0000_000095,52.3688012316818,4.89938516611556
TMX7316010203-003044_pano_0000_000096,52.368764311327,4.89934449384748
TMX7316010203-003044_pano_0000_000097,52.3687268361113,4.89930475269561
TMX7316010203-003044_pano_0000_000098,52.3686896317058,4.89926423046517
TMX7316010203-003044_pano_0000_000099,52.3686529467727,4.89922349212031
TMX7316010203-003044_pano_0000_000100,52.3686159887511,4.89918259164305
TMX7316010203-003044_pano_0000_000101,52.3685790034496,4.89914144833425
TMX7316010203-003044_pano_0000_000102,52.3685419003478,4.89910014914726
TMX7316010203-003044_pano_0000_000103,52.3685048138013,4.89905850681637
TMX7316010203-003044_pano_0000_000104,52.3684675564356,4.8990166695064
TMX7316010203-003044_pano_0000_000105,52.3684306167766,4.89897450482973
TMX7316010203-003044_pano_0000_000106,52.3683934535553,4.89893271355646
TMX7316010203-003044_pano_0000_000107,52.3683567488279,4.89889078334971
TMX7316010203-003044_pano_0000_000108,52.3683204968184,4.89884816098521
TMX7316010203-003044_pano_0000_000109,52.3682840990562,4.89880562461958
TMX7316010203-003044_pano_0000_000110,52.3682481444627,4.89876203629067
TMX7316010203-003044_pano_0000_000111,52.3682125010857,4.89871891224059
TMX7316010203-003044_pano_0000_000112,52.3681771876486,4.89867415937241
TMX7316010203-003044_pano_0000_000113,52.3681413780337,4.8986293188618
TMX7316010203-003044_pano_0000_000114,52.3681047303591,4.89858644436325
TMX7316010203-003044_pano_0000_000115,52.3680670248551,4.89854630304557
TMX7316010203-003044_pano_0000_000116,52.3680292466956,4.89850739905398
TMX7316010203-003044_pano_0000_000117,52.3679915737041,4.89847077989419
TMX7316010203-003044_pano_0000_000118,52.3679538978819,4.8984323600253
TMX7316010203-003044_pano_0000_000119,52.3679163634702,4.89839389094071
TMX7316010203-003044_pano_0000_000120,52.3678789151538,4.89835742675057
TMX7316010203-003044_pano_0000_000121,52.3678413723564,4.89832168741489
TMX7316010203-003044_pano_0000_000122,52.3678041230256,4.89828389522144
TMX7316010203-003044_pano_0000_000123,52.3677669950556,4.89824650138288
TMX7316010203-003044_pano_0000_000124,52.3677298437242,4.89820944563815
TMX7316010203-003044_pano_0000_000125,52.3676956058482,4.89816672585051
TMX7316010203-003044_pano_0000_000126,52.3676754988992,4.89810593956079
